script,style,weight,family,subfamily,variant,format,file,source,source_folders,duplicate_count,sha256
04-Latin,06-General,03-Regular,Lucky Dip Jennifer,Regular,02-Static,01-TrueType,04-Latin\06-General\03-Regular\Lucky Dip Jennifer\02-Static\01-TrueType\LuckyDipJennifer.ttf,English\LuckyDipJennifer.ttf,English,0,f64b4f982de759466a8bd6a0f9c5c3962115079ccd06b1b3e127e2b01c714cfb
03-Mixed,06-General,05-SemiBold,Abar Low FaNum,SemiBold,02-Static,02-OpenType,03-Mixed\06-General\05-SemiBold\Abar Low FaNum\02-Static\02-OpenType\AbarLowFaNum-SemiBold.otf,Iranfont\Abar Pro __FontiranIR_\Abar Pro [@FontiranIR]\Abar FaNum\otf\AbarLowFaNum-SemiBold.otf,Iranfont,0,f64f6a897f5e21cc785ef2fd2b501cf5a2767692635ca537eb8320ef6c17aed8
04-Latin,06-General,09-Other,DimaMabella,DimaMabella,02-Static,05-EOT,04-Latin\06-General\09-Other\DimaMabella\02-Static\05-EOT\DimaMabella.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaMabella\fonts\DimaMabella.eot,+Unsorted,0,f657799c6f17ab92f4bf05094f89accd9609d5e70bdbc6021c0867a19e6bd904
03-Mixed,06-General,06-Bold,DimaMovarab,Bold,02-Static,01-TrueType,03-Mixed\06-General\06-Bold\DimaMovarab\02-Static\01-TrueType\DimaMovarab.ttf,+Unsorted\VIP FONT-@Apkclub\All font\DimaMovarab.ttf,+Unsorted,4,f658ad873785dda1004676159ea29f9483bcd6bf995c6e070a5607b93c083dfc
03-Mixed,01-Sans-Modern,04-Medium,IRANSansX,Medium,02-Static,02-OpenType,03-Mixed\01-Sans-Modern\04-Medium\IRANSansX\02-Static\02-OpenType\IRANSansX-Medium [v2].otf,Iranfont\IranSansX Pro\IranSansX Pro\iransansX family\Otf fonts\IRANSansX-Medium.otf,Iranfont,0,f65b25c4fdbc4ff9148bf163d76e5e5e79b6f35517ab0e5d05c6b45498af2b9a
04-Latin,06-General,03-Regular-Italic,Bau-MediumItalicExp,Regular,02-Static,02-OpenType,04-Latin\06-General\03-Regular-Italic\Bau-MediumItalicExp\02-Static\02-OpenType\Bau-MediumItalicExp.otf,English\Bau-MediumItalicExp.otf,English,0,f65f831d7b1683525a5470c83525f723e09b9e53697985b6aec5e5862466589f
04-Latin,06-General,05-SemiBold,_eot,KalamehWeb-SemiBold,02-Static,05-EOT,04-Latin\06-General\05-SemiBold\_eot\02-Static\05-EOT\KalamehWeb-SemiBold.eot,Iranfont\Kalameh 4\Kalameh 4\01- Standard Fonts\WebFonts\_eot\KalamehWeb-SemiBold.eot,Fonts | Iranfont,2,f662daf51c7f3d3076003e9c4f04c6901650eb0230afd3e810f984798f1dd9ab
03-Mixed,06-General,03-Regular,W_karim Bold,Regular,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\W_karim Bold\02-Static\01-TrueType\W_karim Bold.ttf,Farsi\W_karim Bold.ttf,Farsi,0,f66bca29f30c89376eb17a14fa4a97c87974ec54a6368c515f885724fabc649b
03-Mixed,06-General,03-Regular,Kalameh(FaNum),Regular,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\Kalameh(FaNum)\02-Static\01-TrueType\Kalameh(FaNum)-Regular.ttf,Iranfont\Kalameh 4\Kalameh 4\02- Farsi_Numerals\TTF\Kalameh(FaNum)-Regular.ttf,Fonts | Iranfont,2,f66d9780194c3a9064c03127f5a8564104d279910e62a2b279adf96dfe341b1b
04-Latin,06-General,03-Regular,Casper,Regular,02-Static,01-TrueType,04-Latin\06-General\03-Regular\Casper\02-Static\01-TrueType\Casper.ttf,English\Casper.ttf,English,0,f670714d6d947fed3c853dd015435d508b28a1c69db7727b85e5f0ab46192d15
03-Mixed,06-General,09-Other,Shoor Rounded FaNum,Super,02-Static,01-TrueType,03-Mixed\06-General\09-Other\Shoor Rounded FaNum\02-Static\01-TrueType\ShoorRoundedFaNum-Super.ttf,Iranfont\Shoor Pro __fontiranir_\Shoor Pro [@fontiranir]\Rounded\Farsi Numerals\ShoorRoundedFaNum-Super.ttf,Iranfont,0,f673367205577919cd305a098bd18f2ec8231e166f30160e13cd53480d922de0
03-Mixed,06-General,06-Bold,Yekan Bakh,ExtraBold ExtraCondensed,02-Static,01-TrueType,03-Mixed\06-General\06-Bold\Yekan Bakh\02-Static\01-TrueType\YekanBakh-ExtraBoldExtraCondensed.ttf,Iranfont\YekanBakh 3 ProPlus __fontiranir_\YekanBakh 3 ProPlus [@fontiranir]\Yekan Bakh Family\ttf\YekanBakh-ExtraBoldExtraCondensed.ttf,Iranfont,0,f67b84bfaf60852a4f4a3a6ac6fcfac1448cead6ce4daafd404b4d11af703f2d
