family,file,source,sha256,duplicate_count
Meila Stroke Regular,Meila Stroke Regular\Meila Stroke Regular.otf,_downloads\Meila\Meila Stroke Regular.otf,fa58d7fe919f8bbb6d40695c8a66882f4f3d1e952c4364e7c86b8b7c85ad7a45,0
woff,woff\dana-demibold.woff,Fonts\Dana\Source v2.0\webfonts\fonts\woff\dana-demibold.woff,fa5ba6495945c0e2505ded4f837f61799991864c4d40a4e3320f9225ef114f5d,1
Shlop,Shlop\shlop rg.ttf,+Mixed Fonts\shlop\shlop rg.ttf,fa5d38c43bb7bfda22d9eedd2601690f70099540a831c413612ae1e5558342c4,0
SHifteh Inclined,SHifteh Inclined\Shifteh Inslined.ttf,_downloads\shifteh-inclined\Shifteh Inslined.ttf,fa786b495baa4dfee77c2affbb88805f785969e7b9e19364da46a6c38128cbab,1
fonts,fonts\HodaTorabikhah.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\FontIran.com\HodaTorabikhah\fonts\HodaTorabikhah.woff,fa80f4d88db74de63f820a6079ef0205d4e0880d7974ff3615446b25018d8748,0
woff,woff\AriaWeb-Normal.woff,Fonts\Aria\Source 2\Webfonts\woff\AriaWeb-Normal.woff,fa9969db434e5c37f00106ad1c52cd2b97fc2f6b8f5e53b0d0c19452d5c16df7,0
ColakFAnum,ColakFAnum\ColakFAnum [@ClubEdits].ttf,+Unsorted\CLub Edits naghes\Colak [@ClubEdits]\Colak [@ClubEdits]\Farsi_Numral\ColakFAnum [@ClubEdits].ttf,fa999b486748f3a3a1890873b3d8f2ff549f30f700a9d5b29ee6f10a98150075,0
danafanum,danafanum\DanaFaNum-Regular.woff,_downloads\danafanum\DanaFaNum-Regular.woff,fa9f32331d729aaaca3cc3a87682913c240ee3b550e6eb8f28ee2c1fc468e0be,1
RokhNoEng,RokhNoEng\RokhNoEng-Thin.ttf,_downloads\rokhnoeng\RokhNoEng-Thin.ttf,faa755539c40889ca7ddfa03651028d88ff19b7ae41fe8ec51a20658d53c2a83,2
Pinar-FD,Pinar-FD\Pinar-FD-Light.ttf,_downloads\pinar-fd\Pinar-FD-Light.ttf,faa882dcedfdfb0b1e22e0bd9517409517d65d00734678c38283b233b65d27c6,2
Alef-DS3,Alef-DS3\Alef-DS3.ttf,Fonts\Alef.v3\Static Fonts\Alef-DS3.ttf,faaa2f1adf8edc4c91584795a394d2eb515c05b3d391283cf23af513b649c221,0
NPIGrand Koufi,NPIGrand Koufi\NPIGrand Koufi.ttf,500.Font.Collection\NPIGrand Koufi.ttf,fac4a2708d76481906320dc726685feb694bb46b439ac491a837d2027a369f6a,0
Dibaj FaNum,Dibaj FaNum\Dibaj FaNum Light.ttf,+Unsorted\Dibaj\Dibaj\Farsi-Num\ttf\Dibaj FaNum Light.ttf,fac9112e66d7cccf73f7499caa7646d3a50f0dced001d092d457dcb67b158b00,0
AzarMehr-FD,AzarMehr-FD\500-AzarMehr-FD-Medium.ttf,_downloads\azarmehr-fd\500-AzarMehr-FD-Medium.ttf,fad5b9386a8a9395e2046afe2f50496d43473b1814cbe7784fba1ab8ae8d93f3,3
MRT_Shablon Outline,MRT_Shablon Outline\Shablon Outline_MRT.ttf,384.Font.Farsi\Shablon Outline_MRT.ttf,fad7abad3c77005ba301d0230294c1fcd4bd6bf77467d1172374fa9cda665245,0
Estedad,Estedad\Estedad @i_font.ttf,+Mixed Fonts\estedad\@i_font estedad\Estedad @i_font.ttf,faddc03a125e8d31767bf75813d0c40abfc0e33ce91aa38100db49d32afea13b,0
PortadaIconsW05-Regular,PortadaIconsW05-Regular\PortadaIcons-Regular.otf,_downloads\Portada\PortadaIcons-Regular.otf,fae0de17aeca2c8465ea1a326712a65505ea4e8030819fce5dc3fa28daba5445,0
woff2,woff2\dana-black [v2].woff2,Fonts\Dana\Source v2.0\webfonts\fonts\woff2\dana-black.woff2,faf3a87a0da94b686c4a002daee45369c72f34dafb144caf07e44f1deb304bc1,1
Kenaar(NoEn),Kenaar(NoEn)\Kenaar(NoEn)-Heavy.ttf,Fonts\Kenar V1.0\03- Non English\ttf\Kenaar(NoEn)-Heavy.ttf,fafc5ce9afb91cfe40396fc2fe85f4f1342813add967f80e8c496b92995df655,1
Ahang,Ahang\Ahang-Bold.otf,Fonts\Ahang Pro\Ahang family\OpenType\Ahang-Bold.otf,fb1454480340234946bed66a2c587fa226dad08d295479ae2f35d10fce1d4ac3,0
yekan-bakh,yekan-bakh\YekanBakh-Bold.woff2,_downloads\yekan-bakh\YekanBakh-Bold.woff2,fb1c5e1296c1b033a336425757b6fe46bd2148935104fb33a0dfc93f8712633b,1
fonts,fonts\rahrovan.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\FontIran.com\rahrovan\fonts\rahrovan.eot,fb3249315ce7fd59ea6db7fe9f89b0e6a14fec9e1710e4fbb6cb1169736190d5,0
MRT_Modern_3,MRT_Modern_3\Modern_3_MRT.ttf,384.Font.Farsi\Modern_3_MRT.ttf,fb3713e086d4f2df0595b31e0c680f7bb1c008470e71bb849fad9fd5028e8fac,0
iranyekanwebfn,iranyekanwebfn\iranyekanwebthinfanum.woff,_downloads\iranyekanwebfn\iranyekanwebthinfanum.woff,fb46463cb0d56ceec15af0799055212e4e0364ff3300e051c0efd1d5596be661,3
Tazhib,Tazhib\Tazhib.ttf,Fonts\Tazhib\Tazhib.ttf,fb59165f3c1c6efe0e9dcb2dd12298131b3f33ed367be970804a4a8bf9270681,0
IRANSansX,IRANSansX\IRANSansX-UltraLight [v2].otf,_downloads\IranSansX Pro\IranSansX Pro\iransansX family\Otf fonts\IRANSansX-UltraLight.otf,fb5b9cb499fd0b559949a101b5bdef55ef328e103969c6ce55a3e513e954430e,0
MRT_AridiNaskh Black,MRT_AridiNaskh Black\AridiNaskh Black_MRT.ttf,384.Font.Farsi\AridiNaskh Black_MRT.ttf,fb6b14d8e5419f6fa5683e671ae3e7e8ff9011bd7eeb8555919b389e3e120400,0
pelak-fa,pelak-fa\PelakFA-SemiBold.woff2,_downloads\pelak-fa\PelakFA-SemiBold.woff2,fb72f09da7e44eb2ea14a5daa17b1e5fc5436d1244d135efb824c5aad292c1ba,1
Yadgar v1.0,Yadgar v1.0\Si47ash Yadgar.woff2,Fonts\Yadgar v1.0\Si47ash Yadgar.woff2,fb7a929b31fb3a08a6c54e572ec79e5a1a25f4b81b676dc9901d078817e9a4ac,1
01- Woff,01- Woff\Anjoman-CondensedLight.woff,Fonts\Anjoman_Pro\01 - Anjoman Font Family\05- Webfonts\01- Woff\Anjoman-CondensedLight.woff,fb7f7d768254dbff25da3a3ea2c353ebb2a6e1bd2557aa872695b18051cf105f,1
Sultan Normal,Sultan Normal\Maveddat Black_MRT.ttf,384.Font.Farsi\Maveddat Black_MRT.ttf,fb87e655da199885e59bb9005f9be6b7eeed155f0a3813c9f0653db83d21f381,0
